nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1137.52,141.97,1139.73,134.79,1128.1,138.27,0.0,0.0,1113.91,143.35,1152.7,171.87,1107.18,175.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867.3,131.45,869.43,125.43,857.67,126.7,0.0,0.0,842.06,134.2,883.26,157.9,832.36,171.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.53,139.45,523.55,134.58,513.01,135.08,0.0,0.0,498.38,139.98,535.49,158.79,486.08,170.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080.98,84.1,1082.82,79.78,1074.53,80.29,0.0,0.0,1059.03,83.78,1088.56,111.08,1052.14,116.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899.31,56.55,902.26,50.11,891.46,52.32,0.0,0.0,877.97,59.12,918.23,80.71,866.82,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079.75,152.29,1082.08,146.0,1072.56,147.25,0.0,0.0,1057.09,153.72,1087.97,179.18,1047.98,186.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038.35,133.83,1042.33,126.58,1031.25,126.33,0.0,0.0,1011.09,121.52,0.0,0.0,997.49,153.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342.16,149.8,345.36,142.55,334.3,143.87,0.0,0.0,318.21,149.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203.98,171.0,1204.0,162.91,1191.47,167.1,0.0,0.0,1176.72,179.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457.51,170.34,460.17,163.74,446.73,166.58,0.0,0.0,431.08,175.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229.8,102.67,1231.97,96.84,1222.36,97.93,0.0,0.0,1208.29,100.86,0.0,0.0,1200.77,124.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573.24,65.49,576.17,59.78,565.77,60.58,0.0,0.0,550.05,65.22,588.44,90.84,540.27,96.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
