nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
696.07,108.83,706.93,96.22,683.45,97.66,724.33,101.41,664.05,106.84,771.47,173.56,637.01,181.22,788.83,265.84,624.05,274.96,815.94,253.26,575.62,272.66,747.86,376.04,660.25,376.47,758.6,526.39,685.26,519.78,778.72,659.15,698.72,660.51
697.34,109.48,708.09,96.54,684.4,97.5,724.54,102.24,664.24,105.98,771.11,173.31,636.96,180.75,788.59,265.58,623.88,274.82,815.19,253.03,575.37,272.89,748.56,376.52,661.44,380.42,759.04,525.03,686.99,518.96,778.25,657.79,698.29,659.79
697.87,109.69,708.72,96.79,685.43,97.32,724.93,102.51,664.5,105.0,770.44,173.61,636.57,180.95,787.98,266.06,623.56,274.84,813.51,252.59,575.54,272.11,750.44,380.69,664.55,379.95,759.61,526.25,686.08,518.76,777.61,656.46,698.35,658.99
698.23,109.19,709.03,96.87,686.18,97.14,725.1,102.68,665.05,104.12,770.19,173.74,636.58,181.33,788.96,266.38,623.25,273.93,811.21,253.98,575.81,271.87,748.35,383.58,660.19,377.64,760.53,524.93,686.5,520.76,778.14,656.98,698.81,659.89
698.7,109.14,709.49,96.54,686.74,96.8,725.57,102.49,665.36,103.65,770.24,174.37,636.2,181.16,788.42,266.12,623.73,274.5,810.04,254.2,575.96,270.9,750.67,380.32,660.54,377.26,760.37,522.67,686.09,521.09,778.31,656.93,698.79,658.95
698.46,109.05,709.49,96.45,686.16,96.94,725.94,102.35,665.66,103.28,770.53,174.27,636.53,180.78,788.68,268.13,624.83,276.11,809.23,254.97,575.76,270.73,748.84,379.08,660.16,373.61,759.8,521.22,684.12,521.8,778.11,657.66,699.34,659.17
698.08,108.7,708.95,95.61,685.98,96.32,725.93,101.7,666.03,102.9,770.57,174.47,636.78,180.85,787.62,270.62,624.8,275.43,807.79,254.36,575.92,270.28,747.23,378.16,660.28,374.6,759.83,527.15,685.19,522.59,778.39,658.3,698.01,656.58
697.14,108.65,708.17,95.63,684.91,96.17,726.1,101.74,666.41,103.43,770.75,174.81,637.04,180.95,788.01,270.55,624.12,275.2,807.34,255.34,575.9,268.98,744.87,371.43,659.76,374.08,759.4,525.27,684.53,521.09,778.26,657.98,698.51,656.49
696.34,108.65,707.79,95.41,684.21,96.0,726.12,101.97,666.5,103.58,770.89,175.45,637.39,180.81,787.95,271.41,624.13,275.13,806.96,256.14,576.18,268.44,744.18,370.55,659.43,372.85,759.94,524.82,685.08,522.64,779.09,657.28,697.83,654.9
695.58,108.48,707.33,95.36,683.76,96.02,726.5,101.67,666.83,103.59,771.33,175.41,637.53,180.78,788.1,272.88,623.68,275.25,805.99,256.63,576.19,268.48,742.19,370.92,658.55,374.08,760.07,522.34,683.9,521.81,777.67,656.93,699.05,658.58
695.01,108.72,707.07,95.46,683.22,96.14,726.75,101.62,666.88,103.47,771.66,175.81,637.58,180.98,787.98,273.37,623.52,274.51,805.35,257.1,576.31,268.66,742.55,372.11,659.9,378.48,759.4,522.43,684.55,519.05,777.45,657.9,699.11,658.05
694.9,108.38,706.81,95.51,683.18,96.11,726.77,101.72,667.2,103.6,770.9,176.58,637.86,180.98,787.15,272.79,623.64,274.75,803.85,258.23,576.34,268.57,742.36,371.83,659.43,378.49,760.01,522.99,683.6,519.1,777.09,657.03,699.26,657.96
694.61,108.05,706.31,95.06,683.03,95.94,726.73,101.86,667.43,103.77,771.09,176.37,637.8,180.87,787.36,273.2,623.16,273.89,803.99,256.98,576.5,268.66,742.08,371.25,659.19,377.58,759.91,522.33,683.75,520.18,777.57,657.36,698.77,659.13
694.16,108.13,705.82,95.18,682.75,96.09,726.7,101.81,667.49,104.0,771.02,176.49,637.99,180.75,787.04,272.57,623.6,274.05,802.85,257.96,576.82,268.78,742.45,371.88,660.06,378.28,759.55,520.12,684.42,518.84,777.24,657.54,699.25,658.04
693.64,108.21,704.99,95.0,682.12,96.24,725.92,101.49,667.33,104.45,770.86,176.4,637.46,180.84,786.13,273.26,623.34,274.28,802.57,258.09,577.17,269.1,741.96,373.07,659.61,377.88,758.86,521.04,683.54,520.11,777.11,657.11,699.18,657.97
692.8,108.26,704.55,94.83,681.77,95.76,725.78,101.56,667.18,104.29,770.45,176.45,637.84,180.8,785.76,271.75,623.45,274.09,801.08,258.98,577.18,269.09,742.58,373.32,658.5,374.94,758.43,522.03,683.52,519.05,777.1,657.05,699.4,658.92
689.72,108.37,701.42,94.66,679.88,96.47,726.15,99.97,667.11,105.96,771.47,176.87,637.31,180.42,785.8,273.6,623.54,273.67,802.42,262.59,576.39,269.43,740.29,372.06,657.58,373.95,758.53,518.08,683.35,518.5,777.03,658.02,699.08,659.01
685.11,109.01,695.64,94.39,674.94,98.83,724.1,97.69,665.9,108.98,772.12,176.86,638.69,177.38,783.49,268.58,622.91,271.81,807.52,262.57,575.82,269.98,741.15,372.97,658.99,377.41,757.21,520.9,683.05,519.11,775.98,659.5,698.47,659.85
674.37,108.22,686.15,93.42,664.87,98.98,714.69,97.33,658.56,110.17,762.67,173.49,631.77,178.19,802.4,263.55,608.0,271.32,736.95,276.87,656.42,290.11,742.38,380.46,665.86,380.06,758.53,532.34,685.11,518.37,776.45,661.37,697.5,662.98
675.77,107.58,687.64,93.08,665.56,97.77,715.85,97.67,658.15,110.98,763.29,174.29,631.83,177.94,802.74,262.62,608.19,271.61,738.11,276.49,656.76,289.81,742.58,379.91,666.71,376.77,758.37,532.57,685.2,515.58,776.55,661.58,697.72,659.79
677.4,107.75,689.05,92.99,665.81,98.2,715.8,97.0,657.99,110.28,763.05,174.15,631.91,178.16,802.32,263.49,608.47,272.1,738.74,275.73,656.4,288.79,742.75,381.69,664.76,376.73,758.38,532.24,684.7,515.44,776.66,661.57,697.66,659.24
678.12,107.52,689.66,93.01,666.36,97.99,716.01,97.03,658.09,109.97,763.39,174.14,632.08,178.31,801.35,264.75,610.27,272.6,738.9,275.26,658.18,288.69,742.27,381.9,664.91,377.12,758.2,533.51,684.77,516.78,776.86,663.19,697.57,659.65
678.77,107.34,690.32,92.96,666.88,97.84,716.15,97.19,658.56,109.99,763.59,174.25,632.17,178.39,798.39,266.37,612.08,272.43,738.15,275.32,658.43,289.1,742.65,381.53,664.11,377.52,758.41,532.24,685.47,516.17,776.75,661.71,697.62,660.13
679.46,107.5,690.57,93.22,667.55,97.96,716.57,97.17,658.75,110.6,764.02,174.06,632.18,178.67,795.82,267.36,613.11,272.58,736.49,276.02,658.77,289.08,742.2,381.96,663.43,378.83,758.49,531.13,685.33,515.95,776.97,662.04,697.56,659.83
680.28,108.18,691.03,93.5,668.27,97.93,717.17,97.39,658.71,110.02,765.24,175.49,632.94,178.51,794.71,268.19,612.66,272.79,736.11,276.38,658.2,289.04,742.9,383.41,663.96,379.47,759.01,529.02,686.04,516.04,776.78,663.06,697.76,663.38
680.24,108.29,691.15,93.64,668.41,98.05,717.48,97.15,659.16,109.59,765.43,175.61,633.08,178.4,794.76,268.13,612.76,272.58,736.6,276.48,657.95,289.12,742.6,383.61,663.62,379.49,759.33,530.97,685.99,515.87,776.64,663.09,697.66,659.83
680.25,108.63,690.58,94.28,668.94,98.12,717.82,96.72,659.37,109.58,765.15,175.27,633.09,178.13,795.56,268.47,612.21,272.62,736.94,276.32,658.65,289.14,741.58,381.97,664.49,378.5,759.24,534.49,686.63,514.69,776.91,663.83,697.47,659.72
679.82,108.75,690.06,94.16,668.6,98.32,718.18,96.48,660.31,109.74,765.15,175.57,633.24,178.77,797.57,268.76,612.18,272.78,736.45,276.73,659.09,288.93,742.36,383.86,664.17,379.74,758.98,533.15,686.05,515.33,776.73,663.72,697.6,659.41
677.79,109.3,688.38,94.41,667.64,99.07,718.18,96.11,660.32,109.03,765.29,175.3,633.31,178.65,798.43,268.41,612.2,272.77,736.61,276.73,659.23,288.94,742.78,382.62,664.9,379.13,758.53,535.92,686.23,515.12,776.75,663.63,697.59,659.66
688.44,90.48,704.44,81.83,683.2,81.62,732.11,100.99,672.5,100.57,774.18,174.09,637.26,174.14,819.55,244.54,575.25,237.18,819.84,171.14,553.92,161.59,747.42,373.3,658.97,371.48,757.35,519.91,683.71,514.41,775.09,666.09,697.95,661.84
696.73,92.05,710.43,83.16,688.92,84.33,734.11,102.0,674.38,102.53,774.39,174.93,637.13,175.25,818.94,246.65,574.52,238.62,821.13,170.45,551.23,162.87,747.37,376.11,658.89,374.23,758.6,524.11,683.69,513.88,774.37,664.48,697.36,662.0
702.84,92.98,715.21,84.17,691.93,84.74,734.35,101.53,674.41,102.61,775.67,174.89,636.17,174.9,818.6,249.53,573.98,239.31,824.03,173.98,549.69,164.13,749.09,377.81,659.36,374.94,758.42,524.63,684.02,516.09,775.07,663.71,697.78,661.61
706.35,93.68,717.38,84.89,695.23,84.85,734.29,101.83,674.92,101.73,775.82,175.84,635.39,176.03,818.33,248.9,573.61,240.43,825.3,174.28,547.92,165.74,747.58,377.43,660.14,376.94,758.69,525.2,683.99,514.6,775.42,664.13,697.99,661.76
